,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
17,2a64uIxYHiJu66yiy5x3Mx,The Atomic Mr Basie,Fantail,Count Basie,False,25,0.459,0.598,6,-10.317,1,0.0705,0.694,0.586,0.0862,0.601,102.434,audio_features,spotify:track:2a64uIxYHiJu66yiy5x3Mx,https://api.spotify.com/v1/tracks/2a64uIxYHiJu66yiy5x3Mx,https://api.spotify.com/v1/audio-analysis/2a64uIxYHiJu66yiy5x3Mx,2.949333333333333,4
18,2UqYAbGurc45UIDApX9NmS,Jazz Inspiration,Jive at Five,Count Basie,False,17,0.675,0.178,7,-13.215,0,0.0518,0.84,0.00673,0.14,0.552,145.431,audio_features,spotify:track:2UqYAbGurc45UIDApX9NmS,https://api.spotify.com/v1/tracks/2UqYAbGurc45UIDApX9NmS,https://api.spotify.com/v1/audio-analysis/2UqYAbGurc45UIDApX9NmS,3.01155,4
19,1OKXiYlebYLsIl3etkHptt,Art For Sale,No Good,Count Bass D,False,3,0.459,0.407,1,-10.873,1,0.126,0.765,0.0437,0.12,0.175,79.63,audio_features,spotify:track:1OKXiYlebYLsIl3etkHptt,https://api.spotify.com/v1/tracks/1OKXiYlebYLsIl3etkHptt,https://api.spotify.com/v1/audio-analysis/1OKXiYlebYLsIl3etkHptt,2.4522166666666667,4
20,4S8rej0Uf4tSqdE1ax8egK,2006 (Some Music Pt.2),Snow Third,Count Bass D,False,1,0.508,0.671,8,-6.686,1,0.0492,0.0445,0.937,0.0708,0.506,159.971,audio_features,spotify:track:4S8rej0Uf4tSqdE1ax8egK,https://api.spotify.com/v1/tracks/4S8rej0Uf4tSqdE1ax8egK,https://api.spotify.com/v1/audio-analysis/4S8rej0Uf4tSqdE1ax8egK,1.0257833333333333,4
21,5JcaA4A9ZoXthwEnxOxWvP,Psychotic Reaction,Psychotic Reaction,Count Five,False,54,0.358,0.753,11,-6.641,1,0.0986,0.000259,0.0199,0.266,0.688,164.896,audio_features,spotify:track:5JcaA4A9ZoXthwEnxOxWvP,https://api.spotify.com/v1/tracks/5JcaA4A9ZoXthwEnxOxWvP,https://api.spotify.com/v1/audio-analysis/5JcaA4A9ZoXthwEnxOxWvP,3.0920666666666667,4
22,64tZ76NjJ6lYfKOdpT3SBf,Little Minds,May,Count Zero,False,0,0.645,0.576,6,-5.759,1,0.0276,0.0112,0.000435,0.0814,0.549,90.783,audio_features,spotify:track:64tZ76NjJ6lYfKOdpT3SBf,https://api.spotify.com/v1/tracks/64tZ76NjJ6lYfKOdpT3SBf,https://api.spotify.com/v1/audio-analysis/64tZ76NjJ6lYfKOdpT3SBf,4.059433333333334,3
23,172thyFlH6C7pkhOn3AULp,Robots Anonymous,Moon 69,Count Zero,False,0,0.394,0.689,7,-9.314,1,0.106,0.0974,0.000981,0.0678,0.693,143.521,audio_features,spotify:track:172thyFlH6C7pkhOn3AULp,https://api.spotify.com/v1/tracks/172thyFlH6C7pkhOn3AULp,https://api.spotify.com/v1/audio-analysis/172thyFlH6C7pkhOn3AULp,5.967533333333333,4
24,3QWpPDdabpaifqTciHKFMu,From Beyond the Grave,Draco,Counterstrike,False,8,0.235,0.997,1,-5.966,1,0.202,3.04e-05,0.694,0.153,0.0857,122.302,audio_features,spotify:track:3QWpPDdabpaifqTciHKFMu,https://api.spotify.com/v1/tracks/3QWpPDdabpaifqTciHKFMu,https://api.spotify.com/v1/audio-analysis/3QWpPDdabpaifqTciHKFMu,6.478,3
25,5PxEkxBlHn9zC5iScIo42L,From Beyond the Grave,Enemy,Counterstrike,False,2,0.435,0.988,0,-4.933,1,0.226,0.000183,0.776,0.336,0.422,175.022,audio_features,spotify:track:5PxEkxBlHn9zC5iScIo42L,https://api.spotify.com/v1/tracks/5PxEkxBlHn9zC5iScIo42L,https://api.spotify.com/v1/audio-analysis/5PxEkxBlHn9zC5iScIo42L,6.32155,4
26,78YDUCp8Plu9MqAS5BLSAo,Underwater Sunshine (Or What We Did on Our Summer Vacation),Amie,Counting Crows,False,37,0.563,0.822,2,-5.013,1,0.0383,0.186,0.0,0.173,0.595,170.047,audio_features,spotify:track:78YDUCp8Plu9MqAS5BLSAo,https://api.spotify.com/v1/tracks/78YDUCp8Plu9MqAS5BLSAo,https://api.spotify.com/v1/audio-analysis/78YDUCp8Plu9MqAS5BLSAo,4.557783333333333,4
